"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28.08.2025","7,1307","7,1485","7,1551","7,1301","","-0,33%"
"27.08.2025","7,1543","7,1508","7,1631","7,1454","","0,02%"
"26.08.2025","7,1529","7,1556","7,1630","7,1524","","0,02%"
"25.08.2025","7,1516","7,1649","7,1682","7,1483","","-0,20%"
"22.08.2025","7,1657","7,1818","7,1866","7,1635","","-0,21%"
"21.08.2025","7,1805","7,1769","7,1814","7,1685","","0,06%"
"20.08.2025","7,1762","7,1873","7,1896","7,1748","","-0,09%"
"19.08.2025","7,1824","7,1853","7,1881","7,1788","","-0,03%"
"18.08.2025","7,1849","7,1838","7,1862","7,1763","","0,04%"
"15.08.2025","7,1821","7,1809","7,1845","7,1778","","0,03%"
"14.08.2025","7,1803","7,1723","7,1803","7,1673","","0,07%"
"13.08.2025","7,1751","7,1824","7,1844","7,1733","","-0,06%"
"12.08.2025","7,1792","7,1876","7,1915","7,1792","","-0,13%"
"11.08.2025","7,1888","7,1838","7,1892","7,1798","","0,06%"
"08.08.2025","7,1842","7,1816","7,1852","7,1812","","0,04%"
"07.08.2025","7,1815","7,1824","7,1826","7,1769","","-0,02%"
"06.08.2025","7,1826","7,1903","7,1903","7,1826","","-0,02%"
"05.08.2025","7,1840","7,1780","7,1895","7,1762","","0,07%"
"04.08.2025","7,1787","7,1859","7,1893","7,1743","","-0,46%"
"01.08.2025","7,2118","7,2019","7,2142","7,2019","","0,16%"
"31.07.2025","7,2005","7,1920","7,2006","7,1902","","0,09%"
"30.07.2025","7,1942","7,1756","7,1948","7,1734","","0,24%"
"29.07.2025","7,1772","7,1796","7,1798","7,1744","","-0,01%"
"28.07.2025","7,1779","7,1685","7,1779","7,1671","","0,13%"
"25.07.2025","7,1683","7,1609","7,1693","7,1584","","0,19%"
"24.07.2025","7,1545","7,1516","7,1578","7,1490","","-0,08%"
"23.07.2025","7,1602","7,1685","7,1725","7,1602","","-0,21%"
"22.07.2025","7,1750","7,1702","7,1766","7,1700","","-0,02%"
"21.07.2025","7,1764","7,1778","7,1797","7,1743","","-0,02%"
"18.07.2025","7,1779","7,1792","7,1826","7,1757","","-0,08%"
"17.07.2025","7,1840","7,1802","7,1841","7,1760","","0,06%"
"16.07.2025","7,1796","7,1783","7,1847","7,1770","","0,09%"
"15.07.2025","7,1730","7,1707","7,1754","7,1691","","0,08%"
"14.07.2025","7,1672","7,1672","7,1710","7,1668","","-0,02%"
"11.07.2025","7,1686","7,1770","7,1777","7,1666","","-0,09%"
"10.07.2025","7,1749","7,1774","7,1783","7,1747","","-0,07%"
"09.07.2025","7,1802","7,1741","7,1836","7,1741","","0,09%"
"08.07.2025","7,1741","7,1748","7,1748","7,1700","","-0,01%"
"07.07.2025","7,1747","7,1661","7,1753","7,1659","","0,13%"
"04.07.2025","7,1653","7,1688","7,1693","7,1619","","-0,05%"
"03.07.2025","7,1692","7,1692","7,1718","7,1605","","0,05%"
"02.07.2025","7,1658","7,1645","7,1698","7,1644","","0,01%"
"01.07.2025","7,1654","7,1574","7,1661","7,1562","","0,02%"
"30.06.2025","7,1639","7,1645","7,1663","7,1623","","-0,12%"
"27.06.2025","7,1726","7,1676","7,1744","7,1659","","0,07%"
"26.06.2025","7,1676","7,1686","7,1729","7,1574","","-0,13%"
"25.06.2025","7,1768","7,1686","7,1772","7,1681","","0,07%"
"24.06.2025","7,1717","7,1756","7,1792","7,1715","","-0,12%"
"23.06.2025","7,1800","7,1871","7,1905","7,1800","","0,00%"
"20.06.2025","7,1799","7,1783","7,1851","7,1744","","-0,12%"
"19.06.2025","7,1884","7,1925","7,1925","7,1858","","-0,01%"
"18.06.2025","7,1894","7,1863","7,1894","7,1841","","0,06%"
"17.06.2025","7,1852","7,1801","7,1857","7,1787","","0,08%"
"16.06.2025","7,1798","7,1855","7,1872","7,1782","","-0,03%"
"13.06.2025","7,1816","7,1802","7,1854","7,1742","","0,12%"
"12.06.2025","7,1733","7,1905","7,1905","7,1703","","-0,28%"
"11.06.2025","7,1932","7,1844","7,1942","7,1834","","0,08%"
"10.06.2025","7,1877","7,1806","7,1934","7,1806","","0,09%"
"09.06.2025","7,1811","7,1882","7,1886","7,1805","","-0,12%"
"06.06.2025","7,1896","7,1792","7,1897","7,1792","","0,19%"
"05.06.2025","7,1760","7,1766","7,1844","7,1715","","-0,13%"
"04.06.2025","7,1852","7,1883","7,1938","7,1821","","-0,04%"
"03.06.2025","7,1881","7,1989","7,2013","7,1861","","-0,16%"
"02.06.2025","7,1998","7,1998","7,1998","7,1998","","0,00%"
"30.05.2025","7,1998","7,1861","7,2008","7,1832","","0,19%"
"29.05.2025","7,1859","7,2091","7,2104","7,1859","","-0,12%"
"28.05.2025","7,1948","7,1943","7,2029","7,1886","","-0,01%"
"27.05.2025","7,1956","7,1825","7,1959","7,1824","","0,12%"
"26.05.2025","7,1869","7,1745","7,1898","7,1679","","0,09%"
"23.05.2025","7,1806","7,2011","7,2041","7,1804","","-0,33%"
"22.05.2025","7,2043","7,1996","7,2084","7,1964","","0,02%"
"21.05.2025","7,2025","7,2190","7,2193","7,2018","","-0,24%"
"20.05.2025","7,2195","7,2156","7,2254","7,2156","","0,06%"
"19.05.2025","7,2149","7,2087","7,2172","7,2087","","0,07%"
"16.05.2025","7,2095","7,2047","7,2095","7,1988","","0,03%"
"15.05.2025","7,2073","7,2112","7,2179","7,2050","","-0,02%"
"14.05.2025","7,2085","7,2024","7,2190","7,2012","","0,03%"
"13.05.2025","7,2064","7,1935","7,2064","7,1867","","0,05%"
"12.05.2025","7,2029","7,2282","7,2303","7,2009","","-0,47%"
"09.05.2025","7,2370","7,2436","7,2521","7,2367","","0,03%"
"08.05.2025","7,2348","7,2363","7,2416","7,2325","","0,13%"
"07.05.2025","7,2253","7,2195","7,2330","7,2195","","0,11%"
"06.05.2025","7,2171","7,2359","7,2388","7,2110","","-0,75%"
"05.05.2025","7,2714","7,2714","7,2714","7,2714","","0,00%"
"02.05.2025","7,2714","7,2714","7,2714","7,2714","","0,00%"
"01.05.2025","7,2714","7,2714","7,2714","7,2714","","0,00%"
"30.04.2025","7,2714","7,2757","7,2770","7,2614","","0,03%"
"29.04.2025","7,2695","7,2875","7,2888","7,2596","","-0,35%"
"28.04.2025","7,2947","7,2906","7,3008","7,2906","","0,10%"
"25.04.2025","7,2877","7,2941","7,2980","7,2830","","-0,01%"
"24.04.2025","7,2884","7,2947","7,3014","7,2863","","0,02%"
"23.04.2025","7,2870","7,3036","7,3086","7,2858","","-0,35%"
"22.04.2025","7,3123","7,3019","7,3146","7,3010","","0,27%"
"21.04.2025","7,2924","7,2920","7,2964","7,2826","","-0,11%"
"18.04.2025","7,3003","7,3029","7,3053","7,2870","","0,00%"
"17.04.2025","7,3000","7,3123","7,3137","7,2941","","-0,09%"
"16.04.2025","7,3063","7,3254","7,3289","7,3015","","-0,13%"
"15.04.2025","7,3158","7,3087","7,3180","7,3055","","0,04%"
"14.04.2025","7,3127","7,3059","7,3139","7,2993","","0,28%"
"11.04.2025","7,2921","7,3074","7,3259","7,2921","","-0,31%"
"10.04.2025","7,3145","7,3509","7,3511","7,3145","","-0,48%"
"09.04.2025","7,3500","7,3461","7,3501","7,3461","","0,15%"
"08.04.2025","7,3389","7,3361","7,3389","7,3272","","0,41%"
"07.04.2025","7,3087","7,3072","7,3182","7,3039","","0,37%"
"04.04.2025","7,2821","7,2821","7,2821","7,2821","","0,00%"
"03.04.2025","7,2821","7,2978","7,3047","7,2821","","0,19%"
"02.04.2025","7,2681","7,2714","7,2720","7,2670","","-0,03%"
"01.04.2025","7,2702","7,2606","7,2703","7,2603","","0,18%"
"31.03.2025","7,2572","7,2577","7,2589","7,2473","","-0,09%"
"28.03.2025","7,2634","7,2631","7,2661","7,2614","","-0,03%"
"27.03.2025","7,2654","7,2645","7,2682","7,2598","","-0,04%"
"26.03.2025","7,2682","7,2611","7,2683","7,2611","","0,14%"
"25.03.2025","7,2579","7,2631","7,2639","7,2567","","0,06%"
"24.03.2025","7,2539","7,2578","7,2607","7,2509","","0,06%"
"21.03.2025","7,2493","7,2504","7,2534","7,2448","","0,01%"
"20.03.2025","7,2484","7,2278","7,2487","7,2251","","0,24%"
"19.03.2025","7,2308","7,2317","7,2383","7,2297","","0,03%"
"18.03.2025","7,2284","7,2306","7,2363","7,2217","","-0,07%"
"17.03.2025","7,2337","7,2276","7,2412","7,2236","","-0,07%"
"14.03.2025","7,2387","7,2503","7,2514","7,2289","","-0,08%"
"13.03.2025","7,2444","7,2381","7,2479","7,2300","","0,09%"
"12.03.2025","7,2377","7,2196","7,2486","7,2161","","0,12%"
"11.03.2025","7,2289","7,2569","7,2599","7,2260","","-0,43%"
"10.03.2025","7,2600","7,2431","7,2655","7,2426","","0,35%"
"07.03.2025","7,2349","7,2509","7,2532","7,2275","","-0,18%"
"06.03.2025","7,2478","7,2417","7,2508","7,2356","","-0,05%"
"05.03.2025","7,2516","7,2667","7,2730","7,2516","","-0,20%"
"04.03.2025","7,2661","7,2880","7,2890","7,2571","","-0,26%"
"03.03.2025","7,2850","7,2826","7,2935","7,2794","","0,02%"
"28.02.2025","7,2838","7,2897","7,2910","7,2783","","-0,03%"
"27.02.2025","7,2862","7,2640","7,2872","7,2595","","0,36%"
"26.02.2025","7,2602","7,2518","7,2619","7,2513","","0,11%"
"25.02.2025","7,2522","7,2606","7,2661","7,2520","","0,05%"
"24.02.2025","7,2483","7,2487","7,2522","7,2288","","-0,04%"
"21.02.2025","7,2513","7,2563","7,2574","7,2372","","-0,07%"
"20.02.2025","7,2563","7,2838","7,2838","7,2563","","-0,38%"
"19.02.2025","7,2838","7,2800","7,2867","7,2800","","0,06%"
"18.02.2025","7,2796","7,2685","7,2827","7,2685","","0,22%"
"17.02.2025","7,2639","7,2480","7,2651","7,2442","","0,14%"
"14.02.2025","7,2540","7,2788","7,2901","7,2531","","-0,49%"
"13.02.2025","7,2899","7,3082","7,3084","7,2830","","-0,26%"
"12.02.2025","7,3091","7,3086","7,3098","7,3074","","0,02%"
"11.02.2025","7,3076","7,3085","7,3087","7,3040","","0,03%"
"10.02.2025","7,3052","7,3028","7,3088","7,3027","","0,23%"
"07.02.2025","7,2887","7,2878","7,2908","7,2827","","-0,01%"
"06.02.2025","7,2893","7,2777","7,2936","7,2725","","0,23%"
"05.02.2025","7,2728","7,2779","7,2859","7,2677","","0,30%"
"04.02.2025","7,2514","7,2514","7,2514","7,2514","","0,00%"
"03.02.2025","7,2514","7,2514","7,2514","7,2514","","0,00%"
"31.01.2025","7,2514","7,2514","7,2514","7,2514","","0,00%"
"30.01.2025","7,2514","7,2514","7,2514","7,2514","","0,00%"
"29.01.2025","7,2514","7,2514","7,2514","7,2514","","0,00%"
"28.01.2025","7,2514","7,2514","7,2514","7,2514","","0,00%"
"27.01.2025","7,2514","7,2549","7,2676","7,2514","","0,08%"
"24.01.2025","7,2453","7,2885","7,2885","7,2376","","-0,59%"
"23.01.2025","7,2885","7,2732","7,2887","7,2721","","0,21%"
"22.01.2025","7,2732","7,2717","7,2832","7,2648","","0,02%"
"21.01.2025","7,2721","7,2716","7,2869","7,2648","","-0,41%"
"20.01.2025","7,3018","7,3228","7,3239","7,3018","","-0,32%"
"17.01.2025","7,3252","7,3308","7,3312","7,3239","","-0,09%"
"16.01.2025","7,3317","7,3310","7,3318","7,3306","","0,01%"
"15.01.2025","7,3310","7,3310","7,3320","7,3295","","0,00%"
"14.01.2025","7,3312","7,3306","7,3313","7,3280","","-0,01%"
"13.01.2025","7,3320","7,3310","7,3321","7,3306","","-0,01%"
"10.01.2025","7,3327","7,3306","7,3328","7,3300","","0,01%"
"09.01.2025","7,3322","7,3307","7,3322","7,3296","","0,01%"
"08.01.2025","7,3317","7,3290","7,3318","7,3290","","0,07%"
"07.01.2025","7,3265","7,3276","7,3292","7,3223","","0,05%"
"06.01.2025","7,3225","7,3176","7,3299","7,3123","","0,03%"
"03.01.2025","7,3206","7,2989","7,3207","7,2989","","0,29%"
"02.01.2025","7,2995","7,2983","7,2995","7,2980","","-0,01%"
"01.01.2025","7,3002","7,3002","7,3002","7,3002","","0,01%"
"31.12.2024","7,2994","7,2978","7,2996","7,2939","","0,00%"
"30.12.2024","7,2994","7,2977","7,2994","7,2973","","0,01%"
"27.12.2024","7,2985","7,2983","7,2994","7,2965","","0,00%"
"26.12.2024","7,2982","7,2978","7,2994","7,2978","","0,00%"
"25.12.2024","7,2982","7,2963","7,2994","7,2963","","0,04%"
"24.12.2024","7,2953","7,2985","7,2991","7,2952","","-0,04%"
"23.12.2024","7,2984","7,2924","7,2994","7,2924","","0,02%"
"20.12.2024","7,2966","7,2936","7,2994","7,2936","","-0,01%"
"19.12.2024","7,2970","7,2964","7,2994","7,2958","","0,14%"
"18.12.2024","7,2867","7,2835","7,2869","7,2811","","0,03%"
"17.12.2024","7,2847","7,2856","7,2870","7,2791","","0,01%"
"16.12.2024","7,2840","7,2744","7,2845","7,2728","","0,11%"
"13.12.2024","7,2763","7,2734","7,2823","7,2733","","0,09%"
"12.12.2024","7,2700","7,2588","7,2706","7,2574","","0,11%"
"11.12.2024","7,2618","7,2482","7,2730","7,2415","","0,16%"
"10.12.2024","7,2504","7,2599","7,2639","7,2387","","-0,14%"
"09.12.2024","7,2607","7,2735","7,2805","7,2607","","-0,15%"
"06.12.2024","7,2714","7,2624","7,2714","7,2528","","0,15%"
"05.12.2024","7,2602","7,2677","7,2754","7,2600","","-0,07%"
"04.12.2024","7,2651","7,2804","7,2829","7,2625","","-0,29%"
"03.12.2024","7,2864","7,2856","7,2973","7,2782","","0,20%"
"02.12.2024","7,2722","7,2528","7,2743","7,2528","","0,40%"
"29.11.2024","7,2429","7,2346","7,2439","7,2268","","-0,02%"
"28.11.2024","7,2445","7,2404","7,2532","7,2389","","-0,03%"
"27.11.2024","7,2467","7,2483","7,2584","7,2449","","-0,07%"
"26.11.2024","7,2521","7,2514","7,2593","7,2481","","0,17%"
"25.11.2024","7,2398","7,2389","7,2470","7,2381","","-0,08%"
"22.11.2024","7,2458","7,2459","7,2499","7,2443","","0,11%"
"21.11.2024","7,2375","7,2430","7,2434","7,2363","","-0,12%"
"20.11.2024","7,2461","7,2382","7,2469","7,2380","","0,09%"
"19.11.2024","7,2393","7,2317","7,2443","7,2301","","0,03%"
"18.11.2024","7,2373","7,2334","7,2456","7,2305","","0,07%"
"15.11.2024","7,2324","7,2350","7,2418","7,2260","","0,04%"
"14.11.2024","7,2295","7,2358","7,2468","7,2285","","0,05%"
"13.11.2024","7,2256","7,2227","7,2297","7,2061","","-0,10%"
"12.11.2024","7,2328","7,2197","7,2419","7,2180","","0,25%"
"11.11.2024","7,2150","7,1791","7,2150","7,1760","","0,50%"
"08.11.2024","7,1790","7,1526","7,1791","7,1403","","0,52%"
"07.11.2024","7,1416","7,1837","7,1870","7,1412","","-0,51%"
"06.11.2024","7,1783","7,1294","7,1797","7,1223","","1,03%"
"05.11.2024","7,1051","7,1085","7,1110","7,1015","","0,08%"
"04.11.2024","7,0996","7,1091","7,1153","7,0866","","-0,32%"
"01.11.2024","7,1224","7,1143","7,1274","7,1110","","0,06%"
"31.10.2024","7,1182","7,1199","7,1256","7,1142","","0,04%"
"30.10.2024","7,1155","7,1257","7,1367","7,1155","","-0,21%"
"29.10.2024","7,1306","7,1315","7,1431","7,1286","","0,07%"
"28.10.2024","7,1257","7,1332","7,1353","7,1256","","0,07%"
"25.10.2024","7,1206","7,1171","7,1275","7,1161","","0,01%"
"24.10.2024","7,1199","7,1221","7,1230","7,1107","","-0,08%"
"23.10.2024","7,1259","7,1309","7,1338","7,1248","","0,04%"
"22.10.2024","7,1233","7,1224","7,1256","7,1197","","0,05%"
"21.10.2024","7,1195","7,1041","7,1202","7,0986","","0,24%"
"18.10.2024","7,1023","7,1193","7,1256","7,1008","","-0,30%"
"17.10.2024","7,1238","7,1215","7,1277","7,1160","","0,06%"
"16.10.2024","7,1195","7,1224","7,1245","7,1119","","0,00%"
"15.10.2024","7,1196","7,0879","7,1215","7,0876","","0,45%"
"14.10.2024","7,0875","7,0795","7,0895","7,0737","","0,29%"
"11.10.2024","7,0668","7,0746","7,0786","7,0634","","-0,18%"
"10.10.2024","7,0798","7,0745","7,0818","7,0623","","-0,02%"
"09.10.2024","7,0809","7,0675","7,0821","7,0548","","0,29%"
"08.10.2024","7,0601","7,0508","7,0812","7,0484","","0,59%"
"07.10.2024","7,0185","7,0185","7,0185","7,0185","","0,00%"
"04.10.2024","7,0185","7,0185","7,0185","7,0185","","0,00%"
"03.10.2024","7,0185","7,0185","7,0185","7,0185","","0,00%"
"02.10.2024","7,0185","7,0185","7,0185","7,0185","","0,00%"
"01.10.2024","7,0185","7,0185","7,0185","7,0185","","0,00%"
"30.09.2024","7,0185","7,0157","7,0193","7,0115","","0,11%"
"27.09.2024","7,0111","7,0162","7,0193","7,0111","","0,00%"
"26.09.2024","7,0111","7,0313","7,0313","7,0109","","-0,30%"
"25.09.2024","7,0323","7,0211","7,0323","7,0161","","0,01%"
"24.09.2024","7,0319","7,0558","7,0634","7,0319","","-0,28%"
"23.09.2024","7,0516","7,0462","7,0608","7,0446","","0,00%"
"20.09.2024","7,0513","7,0589","7,0628","7,0428","","-0,23%"
"19.09.2024","7,0679","7,1034","7,1090","7,0604","","-0,20%"
"18.09.2024","7,0819","7,0956","7,1000","7,0791","","-0,17%"
"17.09.2024","7,0937","7,0937","7,0937","7,0937","","0,00%"
"16.09.2024","7,0937","7,0937","7,0937","7,0937","","0,00%"
"13.09.2024","7,0937","7,1074","7,1114","7,0905","","-0,34%"
"12.09.2024","7,1176","7,1230","7,1245","7,1159","","-0,03%"
"11.09.2024","7,1196","7,1224","7,1224","7,1077","","-0,02%"
"10.09.2024","7,1208","7,1187","7,1254","7,1173","","0,10%"
"09.09.2024","7,1138","7,1075","7,1172","7,1061","","0,35%"
"06.09.2024","7,0888","7,0874","7,0965","7,0817","","-0,06%"
