date,dfb_const,dfb_MOEXBMI,dfb_EUR_RUB,dfb_yield_spread,dfb_org_turnover,cooks_d,standard_resid,hat_diag,dffits_internal,student_resid,dffits
2022-02-28,-0.052567686970405,1.461255189820153,-0.7245673008746463,0.2759397222100163,-0.30750509571715007,0.6940363613407919,-2.4917898953976665,0.3585195343148473,-1.8628423998567243,-2.5507470634338896,-1.906918311953569
2022-03-31,-0.0795224703554574,0.3182152029188448,-0.7457168742544371,-0.5454322165140778,0.44006115530747897,0.2909608801479183,3.0237549410606133,0.13727291520192725,1.2061527269544232,3.1379023070570695,1.2516852385021342
2022-09-30,-0.5236324375690722,1.0297794106166567,0.3915775151292481,-0.10536061415292486,0.39876802907159364,0.24078182943896584,-2.7272206774131362,0.13931486390745534,-1.0972279376660208,-2.807648477596154,-1.1295860193044795
2025-01-31,0.06948401496156985,-0.005166415537893683,-0.39139804889830465,0.3743937453218696,0.059395799659099816,0.06309014164455463,1.5983021769137717,0.10991235148433837,0.5616499872899252,1.6093125999745583,0.5655190954357255
2024-08-31,0.23181967242545903,-0.3074933964518794,0.16171117861905238,-0.3128199137824348,-0.12360045541727026,0.052015569341950056,1.9148988091309715,0.06622955350727913,0.5099782806255089,1.9376975126889,0.5160500602858866
2025-09-30,0.22352269254605345,-0.27840375996952527,0.09870136515375477,0.25449443389125354,-0.06594718414178856,0.04706114340219249,2.537440516047493,0.03525754975055892,0.48508320627595675,2.600222948327875,0.4970853412445468
2025-07-31,0.2647005719885077,-0.19841921408835925,-0.045457442768230764,0.3261232060554751,-0.13339704678083233,0.04669534299440173,2.4937298768432945,0.036185791901536195,0.48319428284284227,2.5528464259812234,0.49464892307075825
2020-11-30,-0.13341054641241257,-0.4259386326490778,-0.030463760243878334,0.0542112219020377,0.023891476822699587,0.045504413784081224,-2.02182467037326,0.05272454373506549,-0.47699273466207653,-2.049775077155402,-0.48358684797036355
2023-09-30,-0.07955128791887825,0.09686506459371409,0.017354366060581775,0.3927794780804089,-0.08333301912091652,0.04428798932580824,-1.8692334108393056,0.059599388119911834,-0.4705740607269393,-1.890022209661171,-0.47580758021279534
2024-10-31,0.19818492641003937,-0.27120365897234167,-9.491453333183804e-05,-0.30880986778510033,-0.11812411847864826,0.035895657092497944,1.4606630728568404,0.07759495437221828,0.4236487760663186,1.467979589260436,0.4257708487585446
