Test,Statistic,p-value,Reject H0 at alpha
Ljung-Box(12),19.754923415109047,0.07186634480844305,False
Jarque-Bera,1.1173501436293003,0.5719663764188355,False
Breusch-Pagan,12.092243152304718,0.016678342762595607,True
White,45.836705581743274,2.9812990460357562e-05,True
Ramsey RESET,6.539710192375472,0.011862457334109872,True
CUSUM,1.4659128351286859,0.02719679307138123,True
