Model,N forecasts,MAE,RMSE,OOS R2 vs expanding mean,Directional accuracy
Market lag 1,58.0,0.01633338032620525,0.02240679632114086,-0.013093226088483512,0.6896551724137931
Primary M4 with availability lags,58.0,0.015448154913589479,0.021246638569196525,0.08910076182971816,0.603448275862069
Extended M5 with availability lags,58.0,0.015565149337230182,0.021369366138080718,0.07854706190191985,0.603448275862069
