Variable,Coefficient,HAC SE,t,p-value,CI lower,CI upper
const,0.009988938330827927,0.0017868968378006971,5.59010353564801,2.2693426009443865e-08,0.00648668488465005,0.013491191777005803
MOEXBMI,0.16802327921415158,0.025654629926973604,6.5494329753511575,5.775595496917294e-11,0.11774112852057989,0.21830542990772328
EUR_RUB,0.11063475662751418,0.01848572326217973,5.984875736718607,2.1655512667318043e-09,0.07440340480546764,0.14686610844956072
yield_spread,0.0028246698864157465,0.0017125849211511604,1.6493604793139647,0.09907380616332376,-0.0005319348795068961,0.006181274652338389
org_turnover,-0.026781750660559253,0.0073778598087506555,-3.630016204535932,0.00028340342727487753,-0.04124209016869611,-0.012321411152422397
MOEXBMI_squared,-0.3878470108571877,0.08296058420368393,-4.675075695042719,2.9384521635631394e-06,-0.5504467680328107,-0.22524725368156467
EUR_RUB_squared,0.4042460529127045,0.18080138862322215,2.2358570141025074,0.025361138848021225,0.049881842856359215,0.7586102629690498
