Model,Sample,N,Parameters,R2,Adjusted R2,AIC,BIC
Buy-and-hold,Theory common sample M1–M5,120,5,0.6054840840336938,0.591761791304431,-735.2547169030836,-721.3172581891733
Monthly rebalanced,Theory common sample M1–M5,120,5,0.5449899382840104,0.5291635013547586,-721.9850608117129,-708.0476020978026
Difference (drift effect),Theory common sample M1–M5,120,5,0.4560096422938136,0.43708823854751144,-1013.7889787814261,-999.8515200675158
