HAC lags,Variable,Coefficient,HAC SE,t,p-value,CI lower,CI upper
1,const,0.009902160304024719,0.0014641504634714411,6.763075620347856,1.3509267887052603e-11,0.0070324781276730666,0.012771842480376371
1,MOEXBMI,0.19662657133746764,0.0285968849828446,6.875803831620989,6.1641276548854145e-12,0.1405777067010579,0.25267543597387737
1,EUR_RUB,0.09772108149464445,0.023906855104557583,4.087575762987537,4.35904342447061e-05,0.05086450650609404,0.14457765648319487
1,yield_spread,0.0036329780416474392,0.001616907281972639,2.246868501461122,0.024648432285860073,0.00046389800264051706,0.006802058080654361
1,org_turnover,-0.029058494546027727,0.008555534748479943,-3.3964556746368815,0.0006826461263329694,-0.045827034521529364,-0.01228995457052609
3,const,0.009902160304024719,0.0015642035418247699,6.33048068186385,2.443986177623779e-10,0.006836377697558177,0.01296794291049126
3,MOEXBMI,0.19662657133746764,0.02994548685783929,6.566150427639272,5.1632657323264784e-11,0.1379344955965851,0.25531864707835017
3,EUR_RUB,0.09772108149464445,0.025631236172928864,3.81257777952416,0.0001375249308906887,0.04748478171646363,0.14795738127282526
3,yield_spread,0.0036329780416474392,0.001746826319248603,2.0797591618668556,0.03754762859553914,0.00020926136867351064,0.007056694714621368
3,org_turnover,-0.029058494546027727,0.0073029283401748486,-3.979019537432843,6.920005479043205e-05,-0.043371971074447305,-0.014745018017608148
4,const,0.009902160304024719,0.0015828243890063515,6.2560069031037555,3.9495927139363643e-10,0.0067998815077206535,0.013004439100328783
4,MOEXBMI,0.19662657133746764,0.029985399876664005,6.557410344575439,5.4750206329234655e-11,0.13785626751717442,0.2553968751577609
4,EUR_RUB,0.09772108149464445,0.026070245999613925,3.748375887825976,0.00017798337457708785,0.04662433826730174,0.14881782472198718
4,yield_spread,0.0036329780416474392,0.0017601326019292336,2.064036560464496,0.03901425007962162,0.0001831815338513656,0.007082774549443513
4,org_turnover,-0.029058494546027727,0.007257302314513306,-4.004035285661993,6.227107038241767e-05,-0.04328254570739298,-0.014834443384662471
6,const,0.009902160304024719,0.0016798168302819242,5.8947857442069065,3.751678532929021e-09,0.006609779816047915,0.013194540792001523
6,MOEXBMI,0.19662657133746764,0.029688385007628663,6.6230133867821674,3.519491335995891e-11,0.13843840596335655,0.2548147367115787
6,EUR_RUB,0.09772108149464445,0.025373558717115184,3.8512958542440803,0.00011749445151769388,0.04798982024948635,0.14745234273980257
6,yield_spread,0.0036329780416474392,0.0017763385264405872,2.045205903925966,0.040834562684131125,0.00015141850547293776,0.00711453757782194
6,org_turnover,-0.029058494546027727,0.007412321644892425,-3.920295952894992,8.844029118692563e-05,-0.04358637801184358,-0.014530611080211881
12,const,0.009902160304024719,0.0019536109792177877,5.0686448885486275,4.006579345397706e-07,0.006073153144955826,0.013731167463093611
12,MOEXBMI,0.19662657133746764,0.03443873021616739,5.709460543500543,1.1333482708397724e-08,0.12912790044048825,0.264125242234447
12,EUR_RUB,0.09772108149464445,0.020485182101252455,4.770330134808508,1.839242298647011e-06,0.05757086235944509,0.13787130062984382
12,yield_spread,0.0036329780416474392,0.0016902936582578647,2.1493176785576074,0.03160922606819117,0.00032006334816557036,0.0069458927351293085
12,org_turnover,-0.029058494546027727,0.007362015248591412,-3.9470842649487237,7.910872011754197e-05,-0.04348777928690159,-0.014629209805153868
