Variable,Coefficient,HAC SE,t,p-value,CI lower,CI upper,Factor SD,Effect of +1 SD on monthly log return,"Effect of +1 SD, percentage points",Standardized coefficient,Standardized CI lower,Standardized CI upper
const,0.009902160304024719,0.0015828243890063515,6.2560069031037555,3.9495927139363643e-10,0.0067998815077206535,0.013004439100328783,,,,,,
MOEXBMI,0.19662657133746764,0.029985399876664005,6.557410344575439,5.4750206329234655e-11,0.13785626751717442,0.2553968751577609,0.06207759507179464,0.012206104675842658,1.220610467584266,0.7040650186236604,0.49362492005358366,0.9145051171937374
EUR_RUB,0.09772108149464445,0.026070245999613925,3.748375887825976,0.00017798337457708785,0.04662433826730174,0.14881782472198718,0.05633255948156123,0.005504878635899551,0.5504878635899552,0.31752902193082655,0.15149832873063002,0.4835597151310232
yield_spread,0.0036329780416474392,0.0017601326019292336,2.064036560464496,0.03901425007962162,0.0001831815338513656,0.007082774549443513,0.689128661662632,0.0025035892956902293,0.25035892956902295,0.14441049711663642,0.007281446808323655,0.2815395474249492
org_turnover,-0.029058494546027727,0.007257302314513306,-4.004035285661993,6.227107038241767e-05,-0.04328254570739298,-0.014834443384662471,0.10794557225943337,-0.0031367358227685866,-0.31367358227685865,-0.18093126547127572,-0.26949660985542895,-0.09236592108712247
