Variable,Full-sample coefficient,Rolling median,Sign stability,Share p < 0.05
MOEXBMI,0.19662657133746764,0.2213929651706275,1.0,1.0
EUR_RUB,0.09772108149464445,0.10381353667866217,1.0,0.9672131147540983
yield_spread,0.0036329780416474392,0.0030756914380211577,0.7213114754098361,0.47540983606557374
org_turnover,-0.029058494546027727,-0.02383468650206478,1.0,0.9344262295081968
