Model,Sample,N,Parameters,R2,Adjusted R2,AIC,BIC
M1 Market,Theory common sample M1–M5,120,2,0.432152946930912,0.42734068376930956,-697.5516018349035,-691.9766183493394
M2 + FX,Theory common sample M1–M5,120,3,0.5411685160457897,0.5333252428158033,-721.1318943629726,-712.7694191346264
M3 + Rates,Theory common sample M1–M5,120,4,0.5751152337548746,0.5641268346278454,-728.3556957287444,-717.2057287576163
M4 + Activity,Theory common sample M1–M5,120,5,0.6054840840336938,0.591761791304431,-735.2547169030836,-721.3172581891733
M5 + Trade,Theory common sample M1–M5,120,6,0.6090808298192013,0.5919352521796926,-734.3537574701907,-717.6288070134984
