Variable,Coefficient,HAC SE,t,p-value,CI lower,CI upper
const,0.009902160304024719,0.0015828243890063515,6.2560069031037555,3.9495927139363643e-10,0.0067998815077206535,0.013004439100328783
MOEXBMI,0.19662657133746764,0.029985399876664005,6.557410344575439,5.4750206329234655e-11,0.13785626751717442,0.2553968751577609
EUR_RUB,0.09772108149464445,0.026070245999613925,3.748375887825976,0.00017798337457708785,0.04662433826730174,0.14881782472198718
yield_spread,0.0036329780416474392,0.0017601326019292336,2.064036560464496,0.03901425007962162,0.0001831815338513656,0.007082774549443513
org_turnover,-0.029058494546027727,0.007257302314513306,-4.004035285661993,6.227107038241767e-05,-0.04328254570739298,-0.014834443384662471
