Model,Sample,N,Parameters,R2,Adjusted R2,AIC,BIC
Primary theory M4,Theory common sample M1–M5,120,5,0.6054840840336938,0.591761791304431,-735.2547169030836,-721.3172581891733
Theory extension M5,Theory common sample M1–M5,120,6,0.6090808298192013,0.5919352521796926,-734.3537574701907,-717.6288070134984
Exploratory min BIC,Exploratory complete-case sample,119,6,0.630129466200878,0.6137635133779079,-734.0604290698128,-717.3856881111436
TimeSeriesSplit LASSO,Exploratory complete-case sample,119,13,0.6858141899371492,0.6502459850243736,-739.477477365168,-703.3488719547182
