Variable,count,mean,std,min,25%,50%,75%,max
Portfolio,120.0,0.00790547446926272,0.017336615728620813,-0.07358938913497019,0.00038103004525651623,0.007705050234618997,0.018392551286622736,0.04828063061673869
MOEXBMI,120.0,0.0038852160104875097,0.06207759507179464,-0.35520200113290556,-0.017734079422117244,0.010524240949139951,0.04014893738641212,0.14507760411220527
EUR_RUB,120.0,0.0012847241406353479,0.05633255948156123,-0.15784617902607412,-0.02663693032058112,0.0013020847602382979,0.02934714143093453,0.20978344835068263
yield_spread,120.0,0.015916666666666652,0.689128661662632,-1.6500000000000021,-0.28250000000000064,0.06500000000000083,0.3099999999999987,2.930000000000005
org_turnover,120.0,0.10131261501134486,0.10794557225943337,-0.1383815416026284,0.03128762753571568,0.08014289799763397,0.16828033932338027,0.4107305302718043
