"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-05;1843.75;1843.75;1843.75;1843.75;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-06;1901.63;1901.63;1901.63;1901.63;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-08;1987.24;1987.24;1987.24;1987.24;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-09;1946.29;1946.29;1946.29;1946.29;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-12;1943.52;1943.52;1943.52;1943.52;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-13;1969.04;1969.04;1969.04;1969.04;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-14;1996.49;1996.49;1996.49;1996.49;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-15;2007.73;2007.73;2007.73;2007.73;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-16;2043.97;2043.97;2043.97;2043.97;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-19;2024.67;2024.67;2024.67;2024.67;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-20;2017.7;2017.7;2017.7;2017.7;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-21;2078.32;2078.32;2078.32;2078.32;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-22;2140.47;2140.47;2140.47;2140.47;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-23;2147.2;2147.2;2147.2;2147.2;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-26;2109.4;2109.4;2109.4;2109.4;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-27;2149.92;2149.92;2149.92;2149.92;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-28;2116.26;2116.26;2116.26;2116.26;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-29;2105.91;2105.91;2105.91;2105.91;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-01-30;2116.23;2116.23;2116.23;2116.23;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-02;2087.49;2087.49;2087.49;2087.49;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-03;2124.8;2124.8;2124.8;2124.8;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-04;2126.93;2126.93;2126.93;2126.93;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-05;2178.36;2178.36;2178.36;2178.36;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-06;2254.63;2254.63;2254.63;2254.63;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-09;2245.77;2245.77;2245.77;2245.77;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-10;2237.81;2237.81;2237.81;2237.81;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-11;2265.1;2265.1;2265.1;2265.1;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-12;2315.45;2315.45;2315.45;2315.45;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-13;2360.89;2360.89;2360.89;2360.89;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-16;2312.61;2312.61;2312.61;2312.61;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-17;2303.92;2303.92;2303.92;2303.92;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-18;2324.27;2324.27;2324.27;2324.27;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-19;2309.12;2309.12;2309.12;2309.12;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-20;2302.48;2302.48;2302.48;2302.48;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-24;2276.1;2276.1;2276.1;2276.1;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-25;2242.79;2242.79;2242.79;2242.79;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-26;2261.33;2261.33;2261.33;2261.33;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-02-27;2259.16;2259.16;2259.16;2259.16;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-03-02;2290.46;2290.46;2290.46;2290.46;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-03-03;2321.74;2321.74;2321.74;2321.74;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-03-04;2259.64;2259.64;2259.64;2259.64;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-03-05;2261.19;2261.19;2261.19;2261.19;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-03-06;2220.09;2220.09;2220.09;2220.09;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2015-03-10;2138.95;2138.95;2138.95;2138.95;0;;
