"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-05;11406.83;11406.83;11406.83;11406.83;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-06;11775.26;11775.26;11775.26;11775.26;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-08;12403.46;12403.46;12403.46;12403.46;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-09;12084.02;12084.02;12084.02;12084.02;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-12;12056.46;12056.46;12056.46;12056.46;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-13;12202.53;12202.53;12202.53;12202.53;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-14;12362.3;12362.3;12362.3;12362.3;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-15;12434.25;12434.25;12434.25;12434.25;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-16;12690.36;12690.36;12690.36;12690.36;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-19;12545.76;12545.76;12545.76;12545.76;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-20;12483.73;12483.73;12483.73;12483.73;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-21;12890.66;12890.66;12890.66;12890.66;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-22;13280.54;13280.54;13280.54;13280.54;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-23;13326.93;13326.93;13326.93;13326.93;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-26;13060.42;13060.42;13060.42;13060.42;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-27;13340.25;13340.25;13340.25;13340.25;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-28;13099.99;13099.99;13099.99;13099.99;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-29;13009.51;13009.51;13009.51;13009.51;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-01-30;13049.39;13049.39;13049.39;13049.39;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-02;12873.18;12873.18;12873.18;12873.18;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-03;13116.01;13116.01;13116.01;13116.01;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-04;13107.78;13107.78;13107.78;13107.78;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-05;13472.43;13472.43;13472.43;13472.43;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-06;13952.32;13952.32;13952.32;13952.32;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-09;13874.87;13874.87;13874.87;13874.87;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-10;13837.82;13837.82;13837.82;13837.82;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-11;14024.52;14024.52;14024.52;14024.52;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-12;14368.75;14368.75;14368.75;14368.75;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-13;14679.19;14679.19;14679.19;14679.19;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-16;14344.02;14344.02;14344.02;14344.02;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-17;14296.61;14296.61;14296.61;14296.61;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-18;14410.66;14410.66;14410.66;14410.66;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-19;14334.75;14334.75;14334.75;14334.75;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-20;14279.03;14279.03;14279.03;14279.03;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-24;14112.51;14112.51;14112.51;14112.51;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-25;13883.63;13883.63;13883.63;13883.63;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-26;14024.2;14024.2;14024.2;14024.2;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-02-27;14012.18;14012.18;14012.18;14012.18;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-03-02;14220.04;14220.04;14220.04;14220.04;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-03-03;14413.91;14413.91;14413.91;14413.91;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-03-04;13993.27;13993.27;13993.27;13993.27;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-03-05;14017.17;14017.17;14017.17;14017.17;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-03-06;13752.01;13752.01;13752.01;13752.01;0;;
MEBCTR;Индекс МосБиржи голубых фишек полной доходности «брутто»;2015-03-10;13230.11;13230.11;13230.11;13230.11;0;;
