tradedate;tradetime;period_0.25;period_1.0;period_3.0;period_10.0;period_20.0
03.01.2020;18:39:51;4,97;5,27;5,76;6,42;6,62
06.01.2020;18:39:50;5,03;5,33;5,8;6,43;6,61
08.01.2020;18:38:56;5,15;5,37;5,79;6,44;6,67
09.01.2020;18:39:00;5,45;5,52;5,77;6,42;6,71
10.01.2020;18:39:57;5,46;5,48;5,69;6,26;6,61
13.01.2020;18:39:57;5,47;5,45;5,64;6,18;6,52
14.01.2020;18:39:47;5,4;5,46;5,68;6,26;6,6
15.01.2020;18:39:46;5,36;5,44;5,71;6,3;6,63
16.01.2020;18:39:19;5,41;5,46;5,7;6,29;6,62
17.01.2020;18:39:49;5,3;5,41;5,67;6,25;6,56
20.01.2020;18:39:46;5,34;5,42;5,66;6,25;6,54
21.01.2020;18:39:40;5,34;5,43;5,67;6,26;6,55
22.01.2020;18:39:52;5,39;5,44;5,68;6,25;6,54
23.01.2020;18:39:51;5,36;5,45;5,65;6,25;6,56
24.01.2020;18:39:54;5,36;5,45;5,63;6,26;6,58
27.01.2020;18:39:59;5,45;5,51;5,66;6,35;6,68
28.01.2020;18:39:55;5,23;5,4;5,67;6,32;6,67
29.01.2020;18:39:47;5,19;5,37;5,65;6,32;6,66
30.01.2020;18:39:59;5,02;5,29;5,65;6,35;6,66
31.01.2020;18:39:47;4,97;5,27;5,67;6,36;6,62
03.02.2020;18:39:56;4,99;5,28;5,69;6,37;6,62
04.02.2020;18:39:55;5,06;5,31;5,66;6,31;6,57
05.02.2020;18:39:55;5,0;5,28;5,64;6,28;6,51
06.02.2020;18:39:55;5,01;5,29;5,65;6,3;6,55
07.02.2020;18:39:57;4,98;5,23;5,61;6,25;6,51
10.02.2020;18:39:55;5,13;5,3;5,59;6,25;6,55
11.02.2020;18:39:48;5,19;5,3;5,59;6,22;6,55
12.02.2020;18:39:53;5,24;5,34;5,56;6,18;6,55
13.02.2020;18:39:52;5,19;5,3;5,55;6,15;6,55
14.02.2020;18:39:03;5,16;5,27;5,52;6,12;6,56
17.02.2020;18:39:56;5,16;5,27;5,53;6,11;6,56
18.02.2020;18:39:55;5,16;5,28;5,53;6,12;6,55
19.02.2020;18:39:51;5,14;5,26;5,49;6,07;6,52
20.02.2020;18:39:58;5,08;5,25;5,49;6,03;6,47
21.02.2020;18:39:59;4,98;5,21;5,5;6,08;6,48
25.02.2020;18:39:56;5,21;5,3;5,55;6,16;6,59
26.02.2020;18:39:48;5,24;5,33;5,56;6,17;6,61
27.02.2020;18:39:58;5,29;5,41;5,68;6,35;6,72
28.02.2020;18:39:58;5,79;5,68;5,84;6,6;6,95
02.03.2020;18:39:55;5,62;5,61;5,81;6,55;6,91
03.03.2020;18:39:52;5,24;5,4;5,64;6,28;6,67
04.03.2020;18:39:38;5,12;5,32;5,58;6,11;6,52
05.03.2020;18:39:50;5,22;5,35;5,65;6,29;6,72
06.03.2020;18:39:59;5,36;5,52;5,87;6,6;7,0
10.03.2020;18:39:55;6,39;6,35;6,46;7,12;7,56
11.03.2020;18:39:48;6,2;6,4;6,66;7,36;7,72
12.03.2020;18:39:59;6,35;6,97;7,46;8,12;8,29
13.03.2020;18:39:56;6,17;6,76;7,24;7,94;8,17
16.03.2020;18:39:57;6,32;7,02;7,57;8,12;8,33
17.03.2020;18:39:58;6,25;6,94;7,54;8,09;8,29
18.03.2020;18:39:55;6,23;7,14;7,9;8,57;8,72
19.03.2020;18:39:50;6,11;6,83;7,59;8,25;8,46
20.03.2020;18:39:45;5,75;6,33;7,07;7,82;8,0
23.03.2020;18:39:58;5,69;6,3;7,05;7,69;7,89
24.03.2020;18:39:58;5,6;6,15;6,71;7,2;7,38
25.03.2020;18:39:56;5,25;6,2;6,74;7,25;7,4
26.03.2020;18:39:53;5,28;6,05;6,71;7,12;7,29
27.03.2020;18:39:37;5,31;5,97;6,64;7,08;7,28
30.03.2020;18:39:57;5,51;6,0;6,65;7,0;7,15
31.03.2020;18:39:42;5,42;5,89;6,45;6,83;7,02
01.04.2020;18:39:38;5,3;5,85;6,5;6,89;7,07
02.04.2020;18:39:59;5,11;5,84;6,53;6,93;7,11
03.04.2020;18:39:57;5,15;5,76;6,44;6,89;7,07
06.04.2020;18:39:55;5,12;5,67;6,33;6,83;7,03
07.04.2020;18:39:19;5,03;5,69;6,32;6,79;6,96
08.04.2020;18:39:56;5,06;5,73;6,31;6,81;6,93
09.04.2020;18:39:55;5,17;5,68;6,26;6,77;6,93
10.04.2020;18:39:56;5,29;5,69;6,22;6,76;6,98
13.04.2020;18:39:57;5,05;5,62;6,24;6,75;6,91
14.04.2020;18:39:59;5,22;5,65;6,19;6,77;6,96
15.04.2020;18:39:54;5,55;5,79;6,25;6,87;7,11
16.04.2020;18:39:48;5,47;5,68;6,1;6,76;7,04
17.04.2020;18:39:50;5,38;5,49;5,73;6,4;6,72
20.04.2020;18:39:56;5,34;5,44;5,63;6,27;6,62
21.04.2020;18:39:53;5,4;5,53;5,78;6,43;6,78
22.04.2020;18:39:05;5,37;5,46;5,64;6,31;6,65
23.04.2020;18:39:56;5,27;5,36;5,55;6,23;6,62
24.04.2020;18:39:56;5,11;5,2;5,44;6,15;6,54
27.04.2020;18:39:54;5,14;5,25;5,49;6,16;6,56
28.04.2020;18:39:59;5,15;5,24;5,46;6,16;6,56
29.04.2020;18:39:49;5,04;5,15;5,42;6,16;6,58
30.04.2020;18:39:42;5,05;5,16;5,43;6,17;6,56
04.05.2020;18:39:51;4,92;5,06;5,4;6,18;6,57
05.05.2020;18:39:57;4,82;5,01;5,39;6,14;6,55
06.05.2020;18:39:50;4,99;5,11;5,4;6,17;6,57
07.05.2020;18:39:26;5,07;5,16;5,37;6,17;6,6
08.05.2020;18:39:57;4,82;4,92;5,15;6,08;6,56
12.05.2020;18:39:29;4,82;4,88;5,07;6,02;6,59
13.05.2020;18:39:57;4,84;4,88;5,02;6,0;6,58
14.05.2020;18:39:57;4,98;4,87;4,92;5,94;6,55
15.05.2020;18:39:58;4,84;4,71;4,76;5,73;6,32
18.05.2020;18:39:55;4,87;4,71;4,71;5,63;6,19
19.05.2020;18:39:56;4,88;4,69;4,7;5,64;6,18
20.05.2020;18:39:58;4,86;4,71;4,73;5,6;6,17
21.05.2020;18:39:58;4,82;4,69;4,72;5,59;6,17
22.05.2020;18:39:56;4,78;4,68;4,74;5,63;6,22
25.05.2020;18:39:35;4,7;4,62;4,73;5,62;6,21
26.05.2020;18:39:40;4,69;4,62;4,75;5,63;6,2
27.05.2020;18:39:57;4,67;4,63;4,8;5,7;6,22
28.05.2020;18:39:59;4,53;4,55;4,78;5,67;6,21
29.05.2020;18:39:22;4,34;4,45;4,8;5,7;6,22
01.06.2020;18:39:54;4,26;4,4;4,76;5,67;6,21
02.06.2020;18:39:55;4,21;4,38;4,76;5,66;6,2
03.06.2020;18:39:45;4,17;4,36;4,78;5,72;6,24
04.06.2020;18:39:58;4,17;4,39;4,83;5,77;6,28
05.06.2020;18:39:53;4,01;4,32;4,92;5,89;6,33
08.06.2020;18:39:34;3,93;4,33;5,0;5,93;6,34
09.06.2020;18:39:00;3,93;4,3;4,9;5,81;6,26
10.06.2020;18:39:56;4,03;4,3;4,81;5,83;6,34
11.06.2020;18:39:58;3,98;4,27;4,8;5,82;6,36
15.06.2020;18:39:49;4,11;4,34;4,77;5,82;6,46
16.06.2020;18:39:36;4,01;4,28;4,77;5,74;6,37
17.06.2020;18:39:58;3,94;4,21;4,68;5,68;6,34
18.06.2020;18:39:55;3,91;4,19;4,69;5,68;6,32
19.06.2020;18:39:52;3,86;4,13;4,61;5,64;6,28
22.06.2020;18:39:59;4,08;4,28;4,69;5,78;6,41
23.06.2020;18:39:59;4,07;4,26;4,67;5,79;6,42
25.06.2020;18:39:59;4,12;4,32;4,74;5,87;6,49
26.06.2020;18:39:57;4,1;4,31;4,69;5,85;6,49
29.06.2020;18:39:56;4,09;4,29;4,74;5,88;6,49
30.06.2020;18:39:53;4,09;4,32;4,81;6,05;6,66
02.07.2020;18:39:59;4,07;4,29;4,8;6,01;6,6
03.07.2020;18:39:56;3,89;4,24;4,87;6,18;6,74
06.07.2020;18:39:50;3,94;4,23;4,83;6,15;6,75
07.07.2020;18:39:24;3,84;4,17;4,78;6,08;6,69
08.07.2020;18:39:48;3,84;4,15;4,75;5,99;6,65
09.07.2020;18:39:57;3,8;4,12;4,71;5,97;6,62
10.07.2020;18:39:49;3,88;4,17;4,74;5,97;6,61
13.07.2020;18:39:59;4,01;4,22;4,69;5,93;6,57
14.07.2020;18:39:56;4,0;4,21;4,66;5,95;6,58
15.07.2020;18:39:57;4,03;4,23;4,67;5,97;6,6
16.07.2020;18:39:55;4,04;4,2;4,66;6,0;6,67
17.07.2020;18:39:20;4,08;4,21;4,64;5,97;6,63
20.07.2020;18:39:59;4,15;4,25;4,62;5,94;6,59
21.07.2020;18:39:47;4,18;4,28;4,6;5,89;6,53
22.07.2020;18:39:32;4,21;4,29;4,63;5,91;6,52
23.07.2020;18:39:55;4,19;4,26;4,62;5,92;6,52
24.07.2020;18:39:59;4,09;4,21;4,62;5,93;6,54
27.07.2020;18:39:57;4,02;4,16;4,62;5,96;6,55
28.07.2020;18:39:59;4,07;4,19;4,65;6,01;6,61
29.07.2020;18:39:42;3,97;4,15;4,67;6,01;6,61
30.07.2020;18:39:59;3,94;4,18;4,76;6,08;6,67
31.07.2020;18:39:52;3,89;4,17;4,77;6,07;6,68
03.08.2020;18:39:58;3,88;4,17;4,71;6,01;6,64
04.08.2020;18:39:57;3,89;4,18;4,71;5,98;6,61
05.08.2020;18:39:37;4,01;4,22;4,7;6,0;6,62
06.08.2020;18:39:50;3,94;4,21;4,75;6,03;6,66
07.08.2020;18:39:57;3,92;4,19;4,73;6,03;6,66
10.08.2020;18:39:54;3,91;4,18;4,74;6,01;6,64
11.08.2020;18:39:47;3,94;4,19;4,73;6,04;6,66
12.08.2020;18:39:30;4,02;4,24;4,72;6,06;6,68
13.08.2020;18:39:24;3,99;4,21;4,73;6,1;6,65
14.08.2020;18:39:56;4,07;4,27;4,76;6,19;6,74
17.08.2020;18:39:50;4,09;4,31;4,93;6,39;6,89
18.08.2020;18:39:55;4,07;4,27;4,83;6,29;6,83
19.08.2020;18:39:30;4,07;4,25;4,82;6,23;6,77
20.08.2020;18:39:45;4,04;4,24;4,84;6,31;6,83
21.08.2020;18:39:59;4,03;4,23;4,85;6,39;6,93
24.08.2020;18:39:02;4,17;4,3;4,83;6,34;6,85
25.08.2020;18:38:52;4,14;4,26;4,82;6,38;6,92
26.08.2020;18:39:56;4,07;4,22;4,85;6,39;6,95
27.08.2020;18:39:56;4,03;4,19;4,84;6,34;6,88
28.08.2020;18:39:28;3,97;4,19;4,81;6,27;6,86
31.08.2020;18:39:59;4,02;4,17;4,77;6,28;6,84
01.09.2020;18:39:18;3,98;4,15;4,76;6,22;6,77
02.09.2020;18:39:55;4,08;4,24;4,88;6,38;6,9
03.09.2020;18:39:59;4,07;4,23;4,89;6,36;6,86
04.09.2020;18:39:58;4,07;4,21;4,84;6,32;6,83
07.09.2020;18:39:35;4,06;4,2;4,85;6,36;6,86
08.09.2020;18:39:51;4,0;4,21;4,93;6,43;6,94
09.09.2020;18:39:59;3,99;4,18;4,88;6,39;6,86
10.09.2020;18:38:56;3,98;4,16;4,84;6,34;6,81
11.09.2020;18:39:52;3,93;4,14;4,87;6,39;6,86
14.09.2020;18:39:51;3,96;4,16;4,89;6,38;6,86
15.09.2020;18:39:29;3,91;4,13;4,88;6,35;6,82
16.09.2020;18:39:38;4,07;4,24;4,9;6,34;6,84
17.09.2020;18:39:59;4,03;4,23;4,9;6,35;6,84
18.09.2020;18:39:46;3,99;4,21;4,92;6,36;6,85
21.09.2020;18:39:49;4,04;4,25;4,96;6,45;6,95
22.09.2020;18:39:50;4,1;4,28;4,96;6,45;6,92
23.09.2020;18:39:57;4,09;4,3;5,0;6,45;6,93
24.09.2020;18:39:50;4,13;4,34;5,01;6,47;6,98
25.09.2020;18:39:44;4,07;4,3;5,02;6,47;6,94
28.09.2020;18:39:56;4,11;4,32;5,04;6,49;6,98
29.09.2020;18:39:50;4,09;4,29;5,0;6,47;6,95
30.09.2020;18:39:58;4,05;4,28;4,99;6,42;6,89
01.10.2020;18:38:52;4,08;4,28;4,95;6,39;6,88
02.10.2020;18:39:54;4,05;4,29;4,98;6,36;6,87
05.10.2020;18:39:51;3,96;4,3;4,98;6,34;6,86
06.10.2020;18:39:50;4,03;4,29;4,96;6,29;6,81
07.10.2020;18:39:48;4,0;4,28;4,94;6,26;6,8
08.10.2020;18:39:50;4,09;4,32;4,9;6,17;6,71
09.10.2020;18:39:57;4,05;4,28;4,89;6,17;6,7
12.10.2020;18:39:48;3,95;4,25;4,9;6,17;6,7
13.10.2020;18:39:56;4,19;4,31;4,87;6,17;6,72
14.10.2020;18:39:58;4,21;4,33;4,87;6,19;6,74
15.10.2020;18:39:56;4,17;4,32;4,88;6,26;6,79
16.10.2020;18:39:57;4,15;4,29;4,85;6,24;6,8
19.10.2020;18:39:55;4,13;4,28;4,84;6,21;6,75
20.10.2020;18:39:55;4,09;4,27;4,85;6,21;6,75
21.10.2020;18:39:40;4,12;4,27;4,84;6,19;6,71
22.10.2020;18:39:49;4,11;4,27;4,85;6,21;6,72
23.10.2020;18:39:57;4,16;4,3;4,84;6,2;6,72
26.10.2020;18:39:52;4,19;4,31;4,84;6,22;6,74
27.10.2020;18:39:44;4,2;4,32;4,87;6,27;6,8
28.10.2020;18:39:50;4,27;4,37;4,92;6,33;6,85
29.10.2020;18:39:49;4,32;4,39;4,93;6,35;6,85
30.10.2020;18:39:58;4,32;4,4;4,97;6,41;6,91
02.11.2020;18:39:28;4,35;4,42;5,02;6,52;7,01
03.11.2020;18:39:28;4,38;4,43;5,01;6,5;7,03
05.11.2020;18:39:53;4,37;4,39;4,84;6,21;6,72
06.11.2020;18:39:00;4,26;4,32;4,81;6,16;6,68
09.11.2020;18:39:59;4,3;4,33;4,78;6,1;6,61
10.11.2020;18:39:56;4,23;4,3;4,8;6,16;6,69
11.11.2020;18:39:55;4,19;4,31;4,79;6,13;6,72
12.11.2020;18:39:54;4,21;4,32;4,8;6,12;6,72
13.11.2020;18:39:36;4,24;4,34;4,78;6,12;6,71
16.11.2020;18:39:52;4,13;4,32;4,77;6,1;6,71
17.11.2020;18:39:56;4,23;4,35;4,79;6,1;6,72
18.11.2020;18:38:38;4,3;4,38;4,79;6,11;6,74
19.11.2020;18:39:45;4,29;4,36;4,8;6,11;6,74
20.11.2020;18:39:56;4,22;4,33;4,78;6,12;6,74
23.11.2020;18:39:44;4,27;4,34;4,78;6,1;6,72
24.11.2020;18:39:58;4,23;4,35;4,78;6,11;6,71
25.11.2020;18:39:54;4,28;4,35;4,79;6,13;6,74
26.11.2020;18:39:55;4,33;4,36;4,81;6,14;6,73
27.11.2020;18:39:53;4,3;4,33;4,81;6,14;6,74
30.11.2020;18:39:53;4,32;4,36;4,83;6,15;6,75
01.12.2020;18:39:52;4,28;4,34;4,84;6,16;6,74
02.12.2020;18:39:50;4,29;4,35;4,84;6,15;6,73
03.12.2020;18:39:58;4,25;4,32;4,84;6,14;6,7
04.12.2020;18:39:53;4,22;4,3;4,82;6,11;6,67
07.12.2020;18:39:56;4,22;4,3;4,82;6,11;6,68
08.12.2020;18:39:52;4,25;4,34;4,82;6,1;6,73
09.12.2020;18:39:54;4,25;4,35;4,82;6,13;6,76
10.12.2020;18:39:50;4,23;4,34;4,85;6,16;6,78
11.12.2020;18:39:52;4,24;4,36;4,86;6,14;6,78
14.12.2020;18:39:54;4,23;4,35;4,85;6,17;6,8
15.12.2020;18:39:09;4,3;4,41;4,88;6,17;6,81
16.12.2020;18:39:55;4,3;4,42;4,88;6,16;6,81
17.12.2020;18:39:58;4,3;4,41;4,87;6,14;6,81
18.12.2020;18:39:57;4,25;4,43;4,91;6,18;6,84
