tradedate;tradetime;period_0.25;period_1.0;period_3.0;period_10.0;period_20.0
03.01.2018;18:39:57;6,16;6,49;6,93;7,63;8,49
04.01.2018;18:39:58;5,79;6,35;6,89;7,58;8,48
05.01.2018;18:39:56;6,41;6,52;6,88;7,6;8,45
09.01.2018;18:39:58;6,37;6,5;6,8;7,55;8,37
10.01.2018;18:39:59;6,39;6,58;6,84;7,56;8,42
11.01.2018;18:39:59;6,39;6,66;6,88;7,56;8,36
12.01.2018;18:39:59;6,54;6,67;6,82;7,52;8,36
15.01.2018;18:39:59;6,64;6,71;6,8;7,49;8,22
16.01.2018;18:39:59;6,62;6,7;6,85;7,51;8,24
17.01.2018;18:39:58;6,68;6,75;6,85;7,51;8,25
18.01.2018;18:39:51;6,61;6,68;6,83;7,51;8,26
19.01.2018;18:39:57;6,64;6,72;6,86;7,47;8,21
22.01.2018;18:39:59;6,64;6,72;6,85;7,51;8,27
23.01.2018;18:39:44;6,64;6,71;6,85;7,47;8,22
24.01.2018;18:39:59;6,64;6,72;6,84;7,45;8,17
25.01.2018;18:39:55;6,64;6,71;6,84;7,48;8,21
26.01.2018;18:39:53;6,66;6,74;6,9;7,47;8,18
29.01.2018;18:39:59;6,73;6,8;6,9;7,48;8,17
30.01.2018;18:39:55;6,68;6,74;6,83;7,42;8,11
31.01.2018;18:39:59;6,7;6,75;6,81;7,34;8,02
01.02.2018;18:39:51;6,67;6,72;6,81;7,29;7,92
02.02.2018;18:39:57;6,64;6,69;6,79;7,27;7,92
05.02.2018;18:39:43;6,66;6,72;6,82;7,24;7,86
06.02.2018;18:39:57;6,66;6,72;6,84;7,26;7,89
07.02.2018;18:39:54;6,64;6,69;6,74;7,2;7,81
08.02.2018;18:39:42;6,62;6,66;6,74;7,22;7,84
09.02.2018;18:39:58;6,59;6,64;6,71;7,23;7,88
12.02.2018;18:39:50;6,53;6,58;6,68;7,22;7,91
13.02.2018;18:39:55;6,44;6,51;6,67;7,25;7,99
14.02.2018;18:39:59;6,28;6,39;6,66;7,22;8,0
15.02.2018;18:39:55;6,28;6,37;6,6;7,22;8,03
16.02.2018;18:39:50;6,27;6,36;6,56;7,15;7,95
19.02.2018;18:39:57;6,32;6,38;6,55;7,16;7,93
20.02.2018;18:39:56;6,28;6,38;6,59;7,17;7,96
21.02.2018;18:39:49;6,23;6,33;6,53;7,14;7,94
22.02.2018;18:39:54;6,23;6,32;6,53;7,15;7,97
26.02.2018;18:39:52;6,14;6,24;6,48;7,13;7,99
27.02.2018;18:39:56;6,23;6,31;6,5;7,17;7,99
28.02.2018;18:39:59;6,14;6,26;6,49;7,13;7,95
01.03.2018;18:39:59;6,2;6,3;6,53;7,19;8,04
02.03.2018;18:39:58;6,17;6,28;6,53;7,19;8,05
05.03.2018;18:39:51;6,14;6,26;6,52;7,18;8,04
06.03.2018;18:39:31;6,16;6,27;6,51;7,18;8,05
07.03.2018;18:39:57;6,08;6,2;6,48;7,16;7,98
09.03.2018;18:39:56;5,99;6,15;6,48;7,13;7,96
12.03.2018;18:39:54;6,07;6,19;6,47;7,19;8,07
13.03.2018;18:39:58;6,02;6,16;6,47;7,19;8,08
14.03.2018;18:39:55;6,04;6,18;6,48;7,21;8,07
15.03.2018;18:39:46;6,06;6,19;6,5;7,24;8,13
16.03.2018;18:39:58;6,07;6,2;6,49;7,24;8,13
19.03.2018;18:39:57;6,03;6,19;6,5;7,25;8,17
20.03.2018;18:39:49;5,99;6,13;6,42;7,2;8,11
21.03.2018;18:39:55;5,97;6,11;6,42;7,16;8,06
22.03.2018;18:39:59;5,97;6,11;6,39;7,13;8,02
23.03.2018;18:39:58;6,02;6,14;6,39;7,11;7,92
26.03.2018;18:39:59;6,06;6,17;6,42;7,14;7,96
27.03.2018;18:39:49;6,12;6,22;6,42;7,15;7,95
28.03.2018;18:39:59;6,1;6,2;6,43;7,15;7,97
