tradedate;tradetime;period_0.25;period_1.0;period_3.0;period_10.0;period_20.0
04.01.2021;18:39:52;4,03;4,2;4,87;6,25;6,87
05.01.2021;18:39:43;3,98;4,18;4,82;6,22;6,84
06.01.2021;18:39:57;3,85;4,11;4,79;6,24;6,82
08.01.2021;18:39:53;3,78;4,08;4,84;6,24;6,76
11.01.2021;18:39:53;4,17;4,26;4,92;6,34;6,89
12.01.2021;18:39:54;4,21;4,31;4,94;6,33;6,87
13.01.2021;18:39:56;4,16;4,29;4,99;6,38;6,91
14.01.2021;18:39:50;4,2;4,35;5,01;6,39;6,95
15.01.2021;18:39:59;4,17;4,36;5,09;6,47;7,04
18.01.2021;18:39:56;4,17;4,36;5,09;6,5;7,05
19.01.2021;18:39:37;4,15;4,35;5,06;6,47;7,04
20.01.2021;18:39:55;4,09;4,31;5,08;6,46;7,01
21.01.2021;18:39:36;4,13;4,29;5,08;6,5;7,02
22.01.2021;18:39:57;4,12;4,3;5,16;6,63;7,15
25.01.2021;18:39:54;4,12;4,33;5,18;6,6;7,12
26.01.2021;18:39:56;4,13;4,32;5,12;6,57;7,09
27.01.2021;18:39:45;4,19;4,35;5,16;6,62;7,11
28.01.2021;18:39:54;4,26;4,39;5,16;6,61;7,14
29.01.2021;18:39:59;4,22;4,35;5,15;6,59;7,11
01.02.2021;18:39:50;4,25;4,36;5,14;6,58;7,09
02.02.2021;18:39:56;4,24;4,38;5,14;6,63;7,19
03.02.2021;18:39:51;4,16;4,36;5,18;6,67;7,22
04.02.2021;18:39:57;4,19;4,38;5,16;6,65;7,23
05.02.2021;18:39:57;4,16;4,36;5,11;6,55;7,13
08.02.2021;18:39:58;4,21;4,36;5,11;6,55;7,09
09.02.2021;18:39:58;4,29;4,39;5,14;6,61;7,12
10.02.2021;18:39:45;4,3;4,42;5,2;6,63;7,17
11.02.2021;18:39:58;4,39;4,5;5,26;6,72;7,24
12.02.2021;18:39:56;4,45;4,61;5,38;6,79;7,3
15.02.2021;18:39:55;4,51;4,65;5,44;6,88;7,36
16.02.2021;18:39:59;4,5;4,69;5,5;6,96;7,45
17.02.2021;18:39:58;4,62;4,78;5,58;6,97;7,41
18.02.2021;18:39:57;4,57;4,72;5,5;6,89;7,33
19.02.2021;18:39:42;4,58;4,73;5,55;6,95;7,38
20.02.2021;18:39:59;4,56;4,69;5,51;6,94;7,38
22.02.2021;18:39:52;4,51;4,65;5,55;6,96;7,37
24.02.2021;18:39:57;4,6;4,75;5,55;6,95;7,37
25.02.2021;18:39:58;4,59;4,76;5,66;7,01;7,4
26.02.2021;18:39:35;4,58;4,74;5,72;7,06;7,42
01.03.2021;18:39:59;4,56;4,7;5,69;7,02;7,36
02.03.2021;18:39:52;4,64;4,74;5,73;6,94;7,29
03.03.2021;18:39:58;4,64;4,72;5,64;6,87;7,19
04.03.2021;18:39:52;4,64;4,72;5,65;6,8;7,1
05.03.2021;18:39:56;4,66;4,74;5,7;6,89;7,19
09.03.2021;18:39:52;4,63;4,73;5,72;6,91;7,21
10.03.2021;18:39:58;4,65;4,78;5,8;6,97;7,27
11.03.2021;18:39:41;4,76;4,87;5,88;6,98;7,27
12.03.2021;18:39:47;4,74;4,9;5,92;7,02;7,3
15.03.2021;18:39:57;4,87;5,01;5,98;7,04;7,31
16.03.2021;18:39:59;4,85;5,02;5,98;7,03;7,28
17.03.2021;18:39:53;4,83;5,05;6,03;7,11;7,36
18.03.2021;18:39:55;4,95;5,16;6,08;7,2;7,46
19.03.2021;18:39:52;4,96;5,16;6,13;7,25;7,47
22.03.2021;18:39:46;5,05;5,26;6,21;7,3;7,54
23.03.2021;18:39:54;5,11;5,38;6,4;7,39;7,58
24.03.2021;18:39:57;5,03;5,33;6,35;7,38;7,56
25.03.2021;18:39:37;4,94;5,23;6,27;7,28;7,47
26.03.2021;18:39:56;4,79;5,13;6,18;7,16;7,37
29.03.2021;18:39:53;4,74;5,09;6,17;7,16;7,35
30.03.2021;18:39:59;4,76;5,15;6,24;7,29;7,48
31.03.2021;18:39:59;4,77;5,14;6,18;7,23;7,45
01.04.2021;18:39:59;4,75;5,14;6,22;7,27;7,47
02.04.2021;18:39:42;4,8;5,15;6,21;7,27;7,46
05.04.2021;18:39:59;4,83;5,14;6,18;7,27;7,47
06.04.2021;18:39:59;4,78;5,15;6,32;7,38;7,55
07.04.2021;18:39:55;4,8;5,22;6,38;7,43;7,62
08.04.2021;18:39:58;4,79;5,25;6,41;7,44;7,6
09.04.2021;18:39:58;4,75;5,28;6,43;7,46;7,66
12.04.2021;18:39:54;4,82;5,31;6,4;7,42;7,61
13.04.2021;18:39:58;4,82;5,25;6,36;7,4;7,58
14.04.2021;18:39:56;4,8;5,2;6,22;7,23;7,42
15.04.2021;18:39:50;4,93;5,23;6,21;7,27;7,45
16.04.2021;18:39:58;4,85;5,14;6,11;7,19;7,38
19.04.2021;18:39:39;4,87;5,18;6,15;7,26;7,46
20.04.2021;18:39:57;4,93;5,21;6,19;7,27;7,43
21.04.2021;18:39:56;4,95;5,19;6,14;7,24;7,43
22.04.2021;18:39:56;5,08;5,27;6,12;7,16;7,36
23.04.2021;18:39:57;5,2;5,42;6,16;7,16;7,39
26.04.2021;18:39:52;5,2;5,46;6,17;7,13;7,34
27.04.2021;18:39:58;5,16;5,47;6,19;7,18;7,41
28.04.2021;18:39:54;5,12;5,43;6,21;7,21;7,44
29.04.2021;18:39:55;5,06;5,4;6,18;7,21;7,46
30.04.2021;18:39:51;5,01;5,41;6,18;7,21;7,48
04.05.2021;18:39:53;5,04;5,42;6,17;7,17;7,44
05.05.2021;18:39:52;5,02;5,44;6,18;7,17;7,44
06.05.2021;18:39:58;5,07;5,47;6,19;7,16;7,45
07.05.2021;18:39:53;5,09;5,47;6,19;7,15;7,44
10.05.2021;18:39:56;5,02;5,44;6,18;7,14;7,41
11.05.2021;18:39:54;5,15;5,51;6,21;7,21;7,48
12.05.2021;18:39:59;5,26;5,56;6,23;7,27;7,57
13.05.2021;18:39:59;5,23;5,57;6,27;7,3;7,57
14.05.2021;18:39:59;5,21;5,55;6,24;7,25;7,54
17.05.2021;18:39:58;5,24;5,58;6,26;7,25;7,53
18.05.2021;18:39:59;5,23;5,6;6,26;7,25;7,54
19.05.2021;18:39:59;5,22;5,59;6,28;7,27;7,55
20.05.2021;18:39:58;5,21;5,6;6,28;7,23;7,53
21.05.2021;18:39:31;5,23;5,59;6,28;7,24;7,54
24.05.2021;18:39:57;5,22;5,61;6,29;7,26;7,52
25.05.2021;18:39:56;5,27;5,61;6,28;7,28;7,56
26.05.2021;18:39:58;5,3;5,62;6,28;7,25;7,51
27.05.2021;18:39:58;5,45;5,76;6,34;7,23;7,5
28.05.2021;18:39:58;5,5;5,86;6,33;7,24;7,52
31.05.2021;18:39:56;5,52;5,86;6,37;7,25;7,51
01.06.2021;18:39:51;5,67;5,95;6,39;7,26;7,53
02.06.2021;18:39:58;5,64;5,95;6,42;7,26;7,52
03.06.2021;18:39:53;5,67;5,98;6,46;7,26;7,52
04.06.2021;18:39:59;5,75;6,02;6,53;7,29;7,52
07.06.2021;18:39:51;5,73;6,08;6,58;7,3;7,51
08.06.2021;18:39:51;5,73;6,1;6,63;7,37;7,56
09.06.2021;18:39:54;5,77;6,11;6,65;7,37;7,58
10.06.2021;18:39:54;5,76;6,14;6,65;7,29;7,46
11.06.2021;18:39:55;5,81;6,1;6,6;7,23;7,42
14.06.2021;18:39:58;5,82;6,13;6,6;7,24;7,45
15.06.2021;18:39:55;5,93;6,2;6,68;7,29;7,49
16.06.2021;18:39:36;5,83;6,22;6,78;7,26;7,42
17.06.2021;18:38:56;5,82;6,25;6,78;7,21;7,34
18.06.2021;18:39:52;5,77;6,22;6,74;7,16;7,26
21.06.2021;18:39:28;5,77;6,23;6,78;7,16;7,27
22.06.2021;18:39:38;5,75;6,19;6,77;7,21;7,32
23.06.2021;18:39:54;5,75;6,18;6,73;7,17;7,28
24.06.2021;18:39:44;5,73;6,19;6,75;7,14;7,25
25.06.2021;18:39:50;5,73;6,16;6,74;7,15;7,26
28.06.2021;18:39:39;5,78;6,25;6,84;7,17;7,28
29.06.2021;18:39:47;5,78;6,28;6,92;7,23;7,31
30.06.2021;18:39:31;5,77;6,28;6,92;7,2;7,28
01.07.2021;18:39:29;5,71;6,25;6,93;7,21;7,3
02.07.2021;18:39:45;5,78;6,4;6,97;7,18;7,28
05.07.2021;18:39:59;5,87;6,41;6,93;7,19;7,27
06.07.2021;18:39:58;5,83;6,35;6,93;7,2;7,27
07.07.2021;18:39:58;5,86;6,37;6,94;7,2;7,28
08.07.2021;18:39:58;5,91;6,44;7,0;7,22;7,3
09.07.2021;18:39:57;5,93;6,44;6,95;7,21;7,28
12.07.2021;18:39:57;6,09;6,58;6,97;7,22;7,28
13.07.2021;18:39:58;6,06;6,54;6,99;7,24;7,34
14.07.2021;18:38:00;6,09;6,56;6,98;7,24;7,32
15.07.2021;18:39:54;6,14;6,55;6,95;7,23;7,33
16.07.2021;18:39:58;6,18;6,55;6,92;7,24;7,34
19.07.2021;18:39:53;6,17;6,57;6,91;7,28;7,36
20.07.2021;18:39:58;6,23;6,56;6,87;7,22;7,34
21.07.2021;18:39:53;6,25;6,54;6,8;7,16;7,28
22.07.2021;18:39:57;6,21;6,51;6,74;7,07;7,17
23.07.2021;18:39:58;6,35;6,58;6,77;7,04;7,14
26.07.2021;18:39:56;6,35;6,58;6,8;7,02;7,13
27.07.2021;18:39:56;6,46;6,59;6,75;6,98;7,13
28.07.2021;18:39:50;6,39;6,55;6,74;6,97;7,12
29.07.2021;18:39:58;6,43;6,58;6,76;6,96;7,12
30.07.2021;18:39:59;6,49;6,59;6,74;6,93;7,08
02.08.2021;18:39:59;6,48;6,61;6,78;6,97;7,16
03.08.2021;18:39:59;6,47;6,63;6,78;6,99;7,2
04.08.2021;18:39:59;6,5;6,62;6,78;7,03;7,24
05.08.2021;18:39:58;6,49;6,62;6,76;7,02;7,23
06.08.2021;18:39:55;6,49;6,65;6,79;7,04;7,27
09.08.2021;18:39:48;6,5;6,63;6,81;7,08;7,33
10.08.2021;18:39:57;6,5;6,65;6,85;7,08;7,34
11.08.2021;18:39:59;6,51;6,65;6,83;7,1;7,37
12.08.2021;18:39:51;6,49;6,65;6,86;7,1;7,36
13.08.2021;18:39:54;6,48;6,64;6,83;7,06;7,34
16.08.2021;18:39:59;6,54;6,64;6,78;7,01;7,3
17.08.2021;18:39:59;6,55;6,63;6,76;7,01;7,35
18.08.2021;18:39:58;6,49;6,6;6,78;7,02;7,37
19.08.2021;18:39:56;6,45;6,58;6,78;7,07;7,44
20.08.2021;18:39:47;6,45;6,57;6,78;7,07;7,46
23.08.2021;18:39:51;6,42;6,55;6,78;7,09;7,47
24.08.2021;18:39:57;6,43;6,55;6,79;7,11;7,49
25.08.2021;18:39:57;6,39;6,54;6,79;7,12;7,5
26.08.2021;18:39:59;6,45;6,61;6,87;7,15;7,5
27.08.2021;18:39:59;6,44;6,6;6,83;7,1;7,44
30.08.2021;18:39:48;6,4;6,57;6,83;7,12;7,45
31.08.2021;18:39:46;6,44;6,59;6,81;7,1;7,43
01.09.2021;18:39:57;6,45;6,61;6,82;7,09;7,41
02.09.2021;18:39:56;6,58;6,71;6,86;7,13;7,45
03.09.2021;18:39:47;6,58;6,72;6,85;7,11;7,44
06.09.2021;18:39:57;6,58;6,73;6,88;7,15;7,49
07.09.2021;18:39:55;6,69;6,81;6,91;7,13;7,47
08.09.2021;18:39:59;6,76;6,85;6,92;7,13;7,49
09.09.2021;18:39:58;6,83;6,88;6,93;7,12;7,51
10.09.2021;18:39:54;6,75;6,82;6,91;7,09;7,51
13.09.2021;18:39:59;6,81;6,86;6,91;7,08;7,52
14.09.2021;18:39:58;6,79;6,85;6,94;7,12;7,55
15.09.2021;18:39:19;6,83;6,87;6,95;7,17;7,6
16.09.2021;18:39:50;6,89;6,9;6,95;7,19;7,64
17.09.2021;18:39:57;6,88;6,9;6,96;7,2;7,65
20.09.2021;18:39:58;6,96;6,98;7,06;7,29;7,7
21.09.2021;18:39:57;6,99;7,0;7,05;7,26;7,69
22.09.2021;18:39:51;6,96;6,98;7,03;7,27;7,7
23.09.2021;18:39:56;7,07;7,08;7,1;7,33;7,76
24.09.2021;18:39:59;7,1;7,11;7,16;7,39;7,83
27.09.2021;18:39:41;7,1;7,12;7,17;7,41;7,83
28.09.2021;18:39:56;7,07;7,1;7,18;7,42;7,81
29.09.2021;18:39:57;7,09;7,11;7,15;7,39;7,77
30.09.2021;18:39:58;7,12;7,15;7,21;7,42;7,83
01.10.2021;18:39:58;7,09;7,18;7,24;7,45;7,85
04.10.2021;18:39:59;7,17;7,24;7,34;7,56;7,92
05.10.2021;18:39:59;7,21;7,35;7,47;7,67;8,05
06.10.2021;18:39:57;7,1;7,36;7,49;7,69;8,04
07.10.2021;18:39:58;7,11;7,31;7,42;7,57;7,88
08.10.2021;18:39:47;7,09;7,26;7,36;7,54;7,85
11.10.2021;18:39:57;7,14;7,32;7,39;7,58;7,87
12.10.2021;18:39:59;7,14;7,32;7,41;7,59;7,89
13.10.2021;18:39:59;7,13;7,27;7,38;7,52;7,83
14.10.2021;18:39:41;7,12;7,26;7,37;7,5;7,78
15.10.2021;18:39:59;7,11;7,26;7,41;7,53;7,8
18.10.2021;18:39:58;7,14;7,34;7,5;7,61;7,89
19.10.2021;18:39:56;7,13;7,31;7,48;7,58;7,85
20.10.2021;18:39:58;7,17;7,37;7,49;7,61;7,85
21.10.2021;18:39:58;7,12;7,41;7,58;7,7;7,95
22.10.2021;18:39:54;7,19;7,56;7,86;7,86;7,96
25.10.2021;18:39:56;7,29;7,78;8,15;8,0;7,96
26.10.2021;18:39:57;7,43;7,95;8,2;8,03;7,95
27.10.2021;18:39:55;7,3;7,97;8,22;8,0;7,97
28.10.2021;18:39:58;7,45;8,15;8,44;8,16;8,07
29.10.2021;18:39:57;7,46;8,19;8,43;8,17;8,07
