tradedate;tradetime;period_0.25;period_1.0;period_3.0;period_10.0;period_20.0
03.01.2019;18:39:34;6,96;7,36;8,14;8,77;8,84
04.01.2019;18:39:47;7,03;7,36;8,12;8,78;8,86
08.01.2019;18:39:53;7,18;7,43;8,06;8,78;8,99
09.01.2019;18:39:58;7,41;7,61;8,05;8,57;8,65
10.01.2019;18:39:47;7,45;7,6;8,05;8,52;8,6
11.01.2019;18:39:42;7,5;7,6;8,01;8,46;8,55
14.01.2019;18:39:46;7,43;7,57;8,0;8,49;8,61
15.01.2019;18:39:57;7,35;7,52;7,96;8,41;8,5
16.01.2019;18:39:56;7,34;7,47;7,94;8,36;8,44
17.01.2019;18:39:12;7,35;7,52;7,97;8,41;8,47
18.01.2019;18:39:59;7,39;7,52;7,94;8,39;8,43
21.01.2019;18:39:32;7,42;7,57;7,96;8,37;8,41
22.01.2019;18:39:16;7,44;7,58;7,98;8,4;8,44
23.01.2019;18:39:45;7,41;7,59;7,99;8,42;8,44
24.01.2019;18:39:59;7,44;7,63;7,98;8,35;8,38
25.01.2019;18:39:51;7,51;7,67;7,99;8,39;8,39
28.01.2019;18:39:59;7,5;7,66;8,0;8,41;8,43
29.01.2019;18:39:56;7,71;7,73;7,99;8,41;8,47
30.01.2019;18:39:59;7,57;7,69;7,97;8,38;8,48
31.01.2019;18:39:52;7,62;7,68;7,86;8,21;8,31
01.02.2019;18:39:59;7,65;7,71;7,86;8,23;8,36
04.02.2019;18:39:52;7,68;7,74;7,88;8,24;8,41
05.02.2019;18:39:58;7,64;7,71;7,86;8,21;8,39
06.02.2019;18:39:56;7,62;7,7;7,85;8,24;8,46
07.02.2019;18:39:52;7,61;7,71;7,89;8,27;8,5
08.02.2019;18:39:50;7,65;7,7;7,87;8,26;8,5
11.02.2019;18:39:59;7,63;7,7;7,88;8,29;8,53
12.02.2019;18:39:22;7,65;7,72;7,88;8,31;8,58
13.02.2019;18:39:59;7,65;7,71;7,9;8,37;8,65
14.02.2019;18:39:45;7,79;7,79;8,02;8,51;8,78
15.02.2019;18:39:54;7,8;7,76;7,97;8,42;8,67
18.02.2019;18:39:59;7,69;7,69;7,93;8,42;8,7
19.02.2019;18:39:33;7,59;7,67;7,98;8,47;8,79
20.02.2019;18:39:57;7,49;7,62;7,97;8,47;8,8
21.02.2019;18:39:59;7,52;7,6;7,93;8,45;8,76
22.02.2019;18:39:43;7,56;7,58;7,92;8,45;8,75
25.02.2019;18:39:59;7,54;7,58;7,88;8,4;8,7
26.02.2019;18:39:59;7,55;7,58;7,92;8,43;8,74
27.02.2019;18:39:58;7,37;7,52;7,93;8,51;8,81
28.02.2019;18:39:44;7,31;7,49;7,92;8,42;8,63
01.03.2019;18:39:51;7,16;7,38;7,88;8,43;8,54
04.03.2019;18:39:59;7,09;7,32;7,86;8,45;8,55
05.03.2019;18:39:54;7,12;7,37;7,87;8,45;8,59
06.03.2019;18:39:59;7,06;7,31;7,89;8,48;8,63
07.03.2019;18:39:56;7,14;7,35;7,88;8,48;8,65
11.03.2019;18:39:59;7,15;7,35;7,88;8,47;8,61
12.03.2019;18:39:58;7,15;7,35;7,86;8,44;8,61
13.03.2019;18:39:59;7,21;7,36;7,86;8,45;8,63
14.03.2019;18:39:43;7,22;7,38;7,86;8,45;8,67
15.03.2019;18:39:52;7,1;7,35;7,87;8,43;8,63
18.03.2019;18:39:55;7,12;7,37;7,82;8,34;8,51
19.03.2019;18:39:59;7,14;7,37;7,82;8,32;8,54
20.03.2019;18:39:59;7,13;7,38;7,82;8,3;8,51
21.03.2019;18:39:59;7,26;7,43;7,79;8,21;8,45
22.03.2019;18:39:51;7,12;7,35;7,82;8,3;8,5
25.03.2019;18:39:57;7,3;7,46;7,78;8,2;8,43
26.03.2019;18:39:02;7,32;7,48;7,81;8,23;8,48
27.03.2019;18:39:58;7,33;7,5;7,84;8,3;8,56
28.03.2019;18:39:58;7,43;7,57;7,89;8,35;8,65
29.03.2019;18:39:59;7,35;7,52;7,92;8,41;8,73
01.04.2019;18:39:53;7,41;7,55;7,91;8,39;8,71
02.04.2019;18:39:56;7,4;7,55;7,93;8,4;8,68
03.04.2019;18:39:58;7,45;7,59;7,92;8,4;8,67
04.04.2019;18:39:54;7,57;7,66;7,91;8,42;8,69
05.04.2019;18:39:47;7,62;7,66;7,88;8,38;8,66
08.04.2019;18:39:57;7,59;7,62;7,85;8,34;8,65
09.04.2019;18:39:32;7,57;7,61;7,83;8,34;8,66
10.04.2019;18:39:57;7,52;7,58;7,82;8,27;8,59
11.04.2019;18:39:58;7,53;7,59;7,82;8,24;8,57
12.04.2019;18:39:52;7,58;7,64;7,83;8,24;8,61
