tradedate;tradetime;period_0.25;period_1.0;period_3.0;period_10.0;period_20.0
03.01.2024;18:39:57;12,89;12,9;12,16;11,74;11,64
04.01.2024;18:39:58;13,13;12,88;12,04;11,75;11,68
05.01.2024;18:39:58;13,27;12,87;12,07;11,71;11,62
08.01.2024;18:39:58;13,44;13,04;12,12;11,8;11,71
09.01.2024;18:39:58;14,35;12,81;12,16;11,98;11,95
10.01.2024;18:39:57;13,88;13,32;12,21;11,78;11,81
11.01.2024;18:39:59;13,65;13,23;12,3;11,89;12,16
12.01.2024;18:39:55;14,12;13,12;12,23;12,15;12,21
15.01.2024;18:39:58;13,76;13,35;12,37;11,86;12,21
16.01.2024;18:39:58;13,7;13,32;12,28;11,9;12,42
17.01.2024;18:39:56;13,68;13,34;12,23;11,89;12,73
18.01.2024;18:39:59;13,53;12,83;12,15;11,91;12,79
19.01.2024;18:39:58;13,47;13,07;12,24;11,6;12,3
22.01.2024;18:39:55;13,32;13,09;12,28;11,63;12,28
23.01.2024;18:39:54;13,3;13,12;12,28;11,62;12,26
24.01.2024;18:39:58;13,47;13,18;12,2;11,69;12,6
25.01.2024;18:39:53;13,38;13,16;12,21;11,62;12,45
26.01.2024;18:39:58;13,3;13,14;12,25;11,58;12,37
29.01.2024;18:39:58;13,47;13,23;12,4;11,67;12,47
30.01.2024;18:39:57;13,51;13,32;12,41;11,66;12,5
31.01.2024;18:39:59;13,46;13,26;12,34;11,64;12,54
01.02.2024;18:39:56;13,49;13,23;12,47;11,71;12,39
02.02.2024;18:39:52;13,52;13,3;12,49;11,74;12,52
05.02.2024;18:39:58;13,59;13,34;12,5;11,75;12,58
06.02.2024;18:39:58;13,57;13,39;12,48;11,78;12,73
07.02.2024;18:39:54;13,68;13,42;12,45;11,82;12,93
08.02.2024;18:39:55;13,79;13,49;12,49;11,9;13,07
09.02.2024;18:39:58;13,88;13,57;12,51;11,9;13,15
12.02.2024;18:39:58;13,99;13,63;12,49;11,94;13,32
13.02.2024;18:39:59;13,89;13,59;12,53;11,91;13,23
14.02.2024;18:39:59;14,13;13,7;12,45;11,99;13,28
15.02.2024;18:39:58;14,32;13,81;12,55;12,09;13,32
16.02.2024;18:39:55;14,26;13,69;12,66;12,17;13,43
19.02.2024;18:39:55;14,13;13,84;12,75;12,19;13,37
20.02.2024;18:39:56;14,39;13,89;12,65;12,2;13,37
21.02.2024;18:39:55;14,17;13,87;12,69;12,25;13,33
22.02.2024;18:39:58;14,31;13,98;12,83;12,2;13,36
26.02.2024;18:39:54;14,17;13,9;12,87;12,2;13,24
